"기관 명","송신 서버 번호","데이터 번호","모델명","주행상태","시동ON 시각","시동OFF 시각","운행시간","등록일시"
"서울시설공단","20","1","B03","2","302022-02-14_14:33:","892022-02-14_16:17:","720001","2022-02-15 12:04:00.0"
"서울시설공단","20","1","B03","4","502022-02-14_18:03:","512022-02-14_21:00:","230001","2022-02-15 11:49:00.0"
"서울시설공단","20","1","B03","7","402022-02-14_20:59:","812022-02-14_21:00:","150000","2022-02-15 11:40:00.0"
"서울시설공단","20","1","B03","3","902022-02-09_16:26:","232022-02-09_16:26:","080000","2022-02-15 11:37:00.0"
"서울시설공단","20","1","B03","4","202022-02-15_06:52:","122022-02-15_11:29:","590002","2022-02-15 11:30:00.0"
"서울시설공단","20","1","B03","4","602022-02-15_10:06:","482022-02-15_11:08:","570000","2022-02-15 11:09:00.0"
"서울시설공단","20","1","B03","1","302022-02-15_08:45:","212022-02-15_10:06:","240000","2022-02-15 10:08:00.0"
"서울시설공단","20","1","B03","2","502022-02-15_06:03:","092022-02-15_08:13:","330001","2022-02-15 09:02:00.0"
"서울시설공단","20","1","B03","7","202022-02-15_08:02:","122022-02-15_08:45:","510000","2022-02-15 08:46:00.0"
"서울시설공단","20","1","B03","9","702022-02-15_06:48:","022022-02-15_08:01:","320000","2022-02-15 08:03:00.0"
"서울시설공단","20","1","B03","8","102022-02-15_07:51:","952022-02-15_07:54:","670000","2022-02-15 07:55:00.0"
"서울시설공단","20","1","B03","4","902022-02-15_06:47:","072022-02-15_07:27:","810000","2022-02-15 07:28:00.0"
"서울시설공단","20","1","B03","2","202022-02-15_06:46:","472022-02-15_06:55:","810000","2022-02-15 07:06:00.0"
"서울시설공단","20","1","B03","5","602022-02-12_15:48:","462022-02-12_15:58:","440000","2022-02-15 07:03:00.0"
"서울시설공단","20","1","B03","8","002022-02-14_20:01:","382022-02-14_20:40:","720000","2022-02-15 07:02:00.0"
"서울시설공단","20","1","B03","9","102022-02-15_04:43:","042022-02-15_07:00:","070001","2022-02-15 07:01:00.0"
"서울시설공단","20","1","B03","2","202022-02-14_20:49:","872022-02-14_21:00:","850000","2022-02-15 06:59:00.0"
"서울시설공단","20","1","B03","9","702022-02-14_15:07:","872022-02-14_16:58:","800001","2022-02-15 06:58:00.0"
"서울시설공단","20","1","B03","8","802022-02-14_07:38:","492022-02-14_17:46:","970006","2022-02-15 06:48:00.0"
"서울시설공단","20","1","B03","0","402022-02-14_18:08:","262022-02-15_06:08:","730007","2022-02-15 06:09:00.0"
"서울시설공단","20","1","B03","6","702022-02-15_01:13:","982022-02-15_04:35:","200002","2022-02-15 04:36:00.0"
"서울시설공단","20","1","B03","3","502022-02-15_00:12:","932022-02-15_00:27:","070000","2022-02-15 00:28:00.0"
"서울시설공단","20","1","B03","7","002022-02-14_18:23:","082022-02-14_23:37:","500003","2022-02-14 23:38:00.0"
"서울시설공단","20","1","B03","0","602022-02-14_22:08:","952022-02-14_22:10:","000000","2022-02-14 22:11:00.0"
"서울시설공단","20","1","B03","2","802022-02-14_12:46:","722022-02-14_22:07:","380005","2022-02-14 22:08:00.0"
"서울시설공단","20","1","B03","2","702022-02-14_20:54:","182022-02-14_21:00:","400000","2022-02-14 21:01:00.0"
"서울시설공단","20","1","B03","1","302022-02-14_19:46:","032022-02-14_20:45:","070000","2022-02-14 20:46:00.0"
"서울시설공단","20","1","B03","4","702022-02-14_20:42:","812022-02-14_20:44:","000000","2022-02-14 20:46:00.0"
"서울시설공단","20","1","B03","9","102022-02-14_17:45:","032022-02-14_20:34:","670001","2022-02-14 20:36:00.0"
"서울시설공단","20","1","B03","3","302022-02-14_19:52:","932022-02-14_20:31:","450000","2022-02-14 20:32:00.0"
"서울시설공단","20","1","B03","4","802022-02-14_11:17:","432022-02-14_20:31:","110005","2022-02-14 20:32:00.0"
"서울시설공단","20","1","B03","0","902022-02-14_14:45:","352022-02-14_20:29:","080003","2022-02-14 20:30:00.0"
"서울시설공단","20","1","B03","0","102022-02-14_14:58:","102022-02-14_20:29:","460003","2022-02-14 20:30:00.0"
"서울시설공단","20","1","B03","0","802022-02-14_17:40:","392022-02-14_20:12:","410001","2022-02-14 20:13:00.0"
"서울시설공단","20","1","B03","4","602022-02-14_19:11:","292022-02-14_19:54:","740000","2022-02-14 19:56:00.0"
"서울시설공단","20","1","B03","3","102022-02-14_11:29:","262022-02-14_19:03:","620004","2022-02-14 19:54:00.0"
"서울시설공단","20","1","B03","1","502022-02-14_19:30:","142022-02-14_19:34:","310000","2022-02-14 19:35:00.0"
"서울시설공단","20","1","B03","4","602022-02-14_19:25:","132022-02-14_19:27:","890000","2022-02-14 19:28:00.0"
"서울시설공단","20","1","B03","8","702022-02-14_19:21:","132022-02-14_19:24:","960000","2022-02-14 19:25:00.0"
"서울시설공단","20","1","B03","4","402022-02-14_19:14:","932022-02-14_19:18:","600000","2022-02-14 19:19:00.0"
"서울시설공단","20","1","B03","8","002022-02-14_17:25:","632022-02-14_19:14:","320001","2022-02-14 19:15:00.0"
